brand, product_name, shipping, price
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,GIGABYTE,Free Shipping,159.99
EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING 04G-P4-1457-KR 4GB GDDR6 Dual Fan Metal Backplate,EVGA,Free Shipping,169.99
MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT GAMING MX 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,MSI,Free Shipping,259.99
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,Free Shipping,339.99
MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,Free Shipping,269.49
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING X 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,Free Shipping,409.99
ASUS ROG STRIX Radeon RX 5600 XT ROG-STRIX-RX5600XT-T6G-GAMING 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASUS,$3.99 Shipping,339.99
ASRock Phantom Gaming D3 Radeon RX 5600 XT RX5600XT PGD3 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,ASRock,Free Shipping,299.99
GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card PCIe 3.0 8GB 256-Bit GDDR5 GV-RX580GAMING-8GD REV2.0 Video Card,GIGABYTE,Free Shipping,199.99
ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,Free Shipping,149.99
MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT GAMING X 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,MSI,Free Shipping,299.99
