brand, product_name, shipping, price
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory for AMD Ryzen Model CMK16GX4M2Z3200C16,Corsair,Free Shipping,$65.99 (8 Offers)–
Crucial Ballistix RGB 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model BL2K16G36C16U4BL,Crucial,Free Shipping,$179.99 (2 Offers)–
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model CMK32GX4M2B3000C15,Corsair,Free Shipping,$119.99 (13 Offers)–
G.SKILL Value Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Desktop Memory Model F3-10666CL9D-8GBNT,G.SKILL,Free Shipping,$35.99 (3 Offers)–
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMK16GX4M2B3200C16W,Corsair,Free Shipping,$66.99 (7 Offers)–
OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016CFDA,OLOy,Free Shipping,$87.99 –
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2933 (PC4 23400) Desktop Memory Model CMW32GX4M2Z2933C16,Corsair,Free Shipping,$134.99 (4 Offers)–
OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHKDA,OLOy,Free Shipping,$54.99 –
Crucial 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4 19200) Desktop Memory Model CT2K16G4DFD824A,Crucial,Free Shipping,$109.65 (28 Offers)–
Patriot Viper RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model PVR416G360C7K,Patriot Memory,Free Shipping,$89.99 (2 Offers)–
XPG GAMMIX D30 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel XMP 2.0 Desktop Memory Model AX4U300038G16A-DB30,XPG,Free Shipping,$54.99 –
XPG SPECTRIX D60G RGB Desktop Memory: 32GB (2x16GB) DDR4 3200MHz CL16 GREY,XPG,Free Shipping,$149.99 –
XPG Z1 Desktop Memory: 16GB (2x8GB) DDR4 3000MHz CL16 Black,XPG,Free Shipping,$50.99 –
XPG SPECTRIX D60G 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel XMP 2.0 Desktop Memory Model AX4U300038G16A-DT60,XPG,Free Shipping,$74.99 –
OLOy 16GB 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016CHSA,OLOy,Free Shipping,$47.99 –
GeIL ORION AMD Edition 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Intel XMP 2.0 Desktop Memory Model GAOR432GB3000C16ADC,GeIL,Free Shipping,$88.99 –
OLOy WarHawk RGB 16GB 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016BESA,OLOy,Free Shipping,$52.99 –
